Zeit,Total,Importgüter,Inlandgüter
Mär 20,100.8049,102.0379,100.4189
Apr 20,100.4382,100.9798,100.2683
Mai 20,100.4803,100.9315,100.3387
Jun 20,100.5012,100.9649,100.3555
Jul 20,100.3419,100.2656,100.3653
Aug 20,100.3861,100.3501,100.3970
Sep 20,100.3431,100.6652,100.2420
Okt 20,100.3492,100.7680,100.2180
Nov 20,100.1002,100.2640,100.0489
Dez 20,100.0000,100.0000,100.0000
Jan 21,100.0553,99.6993,100.1652
Feb 21,100.2198,100.2532,100.2097
Mär 21,100.5577,101.6305,100.2268
Apr 21,100.7675,102.1756,100.3332
Mai 21,101.0339,102.5018,100.5811
Jun 21,101.1087,102.7070,100.6159
Jul 21,101.0230,102.1208,100.6845
Aug 21,101.2711,102.4264,100.9149
Sep 21,101.2887,102.7126,100.8496
Okt 21,101.5954,104.0090,100.8508
Nov 21,101.6346,104.4183,100.7760
Dez 21,101.5311,103.7849,100.8355
Jan 22,101.7050,103.6901,101.0967
Feb 22,102.3754,105.1652,101.5070
Mär 22,102.9572,107.2655,101.5975
Apr 22,103.3351,108.8770,101.5764
Mai 22,104.0068,110.1219,102.0628
Jun 22,104.5312,111.4387,102.3307
Jul 22,104.4916,110.6594,102.5305
Aug 22,104.7671,111.2727,102.6969
Sep 22,104.5831,110.7539,102.6211
Okt 22,104.6392,111.1468,102.5682
Nov 22,104.6432,111.0142,102.6168
Dez 22,104.4149,109.7716,102.7168
Jan 23,105.0435,109.1238,103.7339
Feb 23,105.8273,110.2856,104.4021
Mär 23,105.9896,111.3054,104.3034
