Date,Deutschland,Schweiz,USA
2016-01-01,0.5,-1.3,1.2
2016-02-01,0.1,-0.8,0.8
2016-03-01,0.3,-0.9,0.9
2016-04-01,-0.1,-0.4,1.2
2016-05-01,0.2,-0.4,1.1
2016-06-01,0.3,-0.4,1.1
2016-07-01,0.5,-0.2,0.9
2016-08-01,0.4,-0.1,1.1
2016-09-01,0.6,-0.2,1.5
2016-10-01,0.8,-0.2,1.7
2016-11-01,0.8,-0.3,1.7
2016-12-01,1.5,0.0,2.1
2017-01-01,1.6,0.3,2.5
2017-02-01,1.9,0.6,2.8
2017-03-01,1.4,0.6,2.4
2017-04-01,1.7,0.4,2.2
2017-05-01,1.2,0.5,1.9
2017-06-01,1.4,0.2,1.7
2017-07-01,1.4,0.3,1.7
2017-08-01,1.6,0.5,1.9
2017-09-01,1.7,0.7,2.2
2017-10-01,1.3,0.7,2.0
2017-11-01,1.6,0.8,2.2
2017-12-01,1.4,0.8,2.1
2018-01-01,1.4,0.7,2.1
2018-02-01,1.1,0.6,2.2
2018-03-01,1.5,0.8,2.4
2018-04-01,1.3,0.8,2.5
2018-05-01,2.1,1.0,2.8
2018-06-01,1.9,1.1,2.8
2018-07-01,1.9,1.2,2.9
2018-08-01,1.9,1.2,2.7
2018-09-01,1.9,1.0,2.3
2018-10-01,2.3,1.1,2.5
2018-11-01,2.1,0.9,2.2
2018-12-01,1.6,0.7,1.9
2019-01-01,1.4,0.6,1.5
2019-02-01,1.5,0.6,1.5
2019-03-01,1.3,0.7,1.9
2019-04-01,2.0,0.7,2.0
2019-05-01,1.4,0.6,1.8
2019-06-01,1.6,0.6,1.7
2019-07-01,1.7,0.3,1.8
2019-08-01,1.4,0.3,1.7
2019-09-01,1.2,0.1,1.7
2019-10-01,1.1,-0.3,1.8
2019-11-01,1.1,-0.1,2.0
2019-12-01,1.5,0.2,2.3
2020-01-01,1.7,0.2,2.5
2020-02-01,1.7,-0.1,2.3
2020-03-01,1.4,-0.5,1.5
2020-04-01,0.9,-1.1,0.3
2020-05-01,0.6,-1.3,0.2
2020-06-01,0.9,-1.3,0.7
2020-07-01,-0.1,-0.9,1.0
2020-08-01,0.0,-0.9,1.3
2020-09-01,-0.2,-0.8,1.4
2020-10-01,-0.2,-0.6,1.2
2020-11-01,-0.3,-0.7,1.1
2020-12-01,-0.3,-0.8,1.3
2021-01-01,1.0,-0.5,1.4
2021-02-01,1.3,-0.5,1.7
2021-03-01,1.7,-0.2,2.6
2021-04-01,2.0,0.3,4.2
2021-05-01,2.5,0.6,4.9
2021-06-01,2.3,0.6,5.3
2021-07-01,3.8,0.7,5.3
2021-08-01,3.9,0.9,5.2
2021-09-01,4.1,0.9,5.4
2021-10-01,4.5,1.2,6.2
2021-11-01,5.2,1.5,6.9
2021-12-01,5.3,1.5,7.1
