Monat/Jahr,Prozentsatz
Januar 2018,11.2
Februar 2018,11
März 2018,10.4
April 2018,10.1
Mai 2018,9.6
Juni 2018,10
Juli 2018,13.3
August 2018,13.1
September 2018,11.2
Oktober 2018,9.8
November 2018,10
Dezember 2018,10.1
Januar 2019,11.2
Februar 2019,11
März 2019,11.3
April 2019,9.9
Mai 2019,10.5
Juni 2019,11.6
Juli 2019,13.9
August 2019,13.1
September 2019,13
Oktober 2019,12.4
November 2019,12.5
Dezember 2019,12.2
Januar 2020,12.5
Februar 2020,13.6
März 2020,13.3
April 2020,13.8
Mai 2020,14.8
Juni 2020,15.4
Juli 2020,16.8
August 2020,16.8
September 2020,15
Oktober 2020,13.2
November 2020,12.8
Dezember 2020,12.3
März 2021,13.6
April 2021,13.6
Mai 2021,13.8
Juni 2021,15.4
Juli 2021,16.2
August 2021,15.3
September 2021,14.6
Oktober 2021,14.2
November 2021,14.3
Dezember 2021,14.3
Januar 2022,15.3
Februar 2022,15.3
März 2022,16
April 2022,18.2
Mai 2022,18.4
Juni 2022,19.3
Juli 2022,19.9
August 2022,18.7
September 2022,17.9
Oktober 2022,17.9
November 2022,17.1
Dezember 2022,16.7
Januar 2023,17.3
Februar 2023,18.1
März 2023,19.6
April 2023,20.4
