X,Schweiz,USA,Deutschland
1980,10.59,10.42,8.77
1981,10.58,10.67,8.56
1982,10.88,10.99,8.5
1983,11.2,11.5,8.79
1984,11.16,12.15,8.96
1985,11.16,12.27,9.19
1986,11.24,11.98,9.68
1987,11.27,13.24,10.29
1988,10.99,15.21,11.21
1989,10.71,14.69,11.87
1990,10.81,14.71,11.71
1991,10.25,13.65,10.81
1992,9.49,14.68,10.33
1993,9.54,14.15,9.81
1994,9.84,14.02,9.43
1995,9.82,14.52,9.16
1996,10.8,15.25,9.73
1997,11.23,16,10.22
1998,11.46,16.32,10.67
1999,10.84,16.76,10.51
2000,11.18,17.34,10.46
2001,10.34,16.59,10.4
2002,9.38,16.1,10.34
2003,11.07,16.32,9.82
2004,11.46,17.06,10.54
2005,12.31,18.06,12.07
2006,12.7,18.52,12.36
2007,11.19,18.38,13.29
2008,10.06,17.93,13.16
2009,9.94,16.7,12.84
2010,11.5,17.89,12.94
2011,11.82,18.08,12.68
2012,10.64,19.49,12.56
2013,10.58,18.46,12.95
2014,10.57,18.97,13.12
2015,10.77,18.89,13.09
2016,10.63,18.66,13.07
2017,10.31,19.05,13.01
2018,10.13,19.24,12.85
2019,10.18,19.04,13.73
2020,10.13,18.6,13.66
2021,10.93,20.2,10.55
2022,10.91,20.87,10.26
