X,Restaurants und Hotellerie,"Handel, Garagen","Industrie, Chemie, Pharma",Übrige,Freiberufliche Dienstleistungen,"Kunst, Unterhaltung und Erholung",Transport und Logistik,Baugewerbe/Bau,"Medien, Kommunikation, IT",Gesundheits- und Sozialwesen,Banken und Versicherungen,Immobilien
2020-01,0,36,4786,25,344,5,114,26,19,0,0,0
2020-02,79,150,4379,31,152,4,184,37,13,0,29,0
2020-03,166349,161376,139035,141868,90422,42303,48246,74264,16415,78579,8310,8903
2020-04,178423,220112,229556,187196,132608,51134,72734,89751,34256,125092,13044,12293
2020-05,162413,180989,218345,136362,113607,48102,58666,51290,33687,67151,11899,9977
2020-06,97836,89576,160449,75862,56790,26873,41442,18224,22445,20801,5956,3980
2020-07,66302,55688,116719,49666,38908,13247,34324,12370,16738,11501,4019,2503
2020-08,56907,44556,103790,41087,32256,10657,32226,9537,14776,7986,3513,1980
2020-09,42477,27193,82445,26670,20452,6507,26999,4671,8797,4001,1788,1021
2020-10,49337,26146,74713,27904,18996,8070,26505,5258,7938,3875,1740,1135
2020-11,90205,39798,77736,39293,26310,20767,27834,7325,8991,6202,2137,1671
2020-12,111122,42740,61746,40665,24686,29159,29383,7228,7697,6667,1987,2206
2021-01,120260,75349,73551,47379,39360,31824,30605,9973,8189,8896,2327,2545
2021-02,109594,71634,66124,44147,34243,28352,28182,10154,8065,8041,2500,2415
