Jahr,Mitte,FDP,Grüne,SP,SVP,Stimmbevölkerung
1996,4.91549295774648,5.07079646017699,4.30769230769231,4.30172413793103,5.02272727272727,4.75373134328358
1997,4.61379310344828,5.02097902097902,4.73913043478261,4.48607594936709,5.02116402116402,4.70293054997993
1998,4.5,4.89855072463768,3.79411764705882,4.05587892898719,5.01408450704225,4.51758423863009
1999,4.39626556016598,4.82006369426752,3.55339805825243,3.73067915690867,4.66466165413534,4.36074400391581
2000,4.80241935483871,4.57749712973594,4.11666666666667,3.88365650969529,4.46923076923077,4.32916429789653
2001,4.46336206896552,4.61049284578696,4,4.12884160756501,4.48628428927681,4.27866852561868
2002,4.53113553113553,4.78085106382979,3.36708860759494,3.67911479944675,4.38857142857143,4.22352063649925
2003,4.48475609756098,4.76169590643275,3.25373134328358,3.63447127393839,4.6793893129771,4.16792114695341
2004,4.33492822966507,4.91515151515152,3.48821548821549,3.68550811785929,4.792656587473,4.26348808030113
2005,4.52112676056338,4.90112994350283,3.25,3.71859296482412,4.67676767676768,4.28585116576174
2006,4.38095238095238,4.82233502538071,3.05369127516779,3.44057971014493,4.66539923954373,4.09981740718198
2007,4.44,4.83636363636364,3.04225352112676,3.82062780269058,4.81756756756757,4.30966638152267
2008,4.33714285714286,4.62131837307153,3.31404958677686,3.44117647058824,4.66032953105196,4.11653424139236
2009,4.0938123752495,4.43512658227848,3.07575757575758,3.49943630214205,4.278125,3.99893977947413
2010,4.2292817679558,4.43493150684932,2.89080459770115,3.26959619952494,4.29310344827586,3.90907039711191
2011,4.13157894736842,4.672,3.17391304347826,3.27878787878788,4.68085106382979,4.02053388090349
2012,4.22595704948646,4.46009085009734,3.06534090909091,3.36592449177154,4.55493482309125,4.03742666396925
2013,4.34611602753196,4.61816652649285,3.10483870967742,3.31778265642151,4.58741258741259,4.07619142971566
2014,4.56224489795918,4.6019656019656,3.31873479318735,3.3106976744186,4.38415723645027,4.07992268257837
2015,4.39194139194139,4.71761658031088,2.93684210526316,3.39054290718039,4.64028776978417,4.13311688311688
2016,4.18382352941176,4.4585448392555,3.15596330275229,3.42765042979943,4.38537859007833,3.95740149094782
2017,4.08658416643043,4.51340814804705,3.36920840385362,3.2878204435838,4.30719853231861,3.90094420861936
2018,4.13336770209038,4.50696911773877,3.01603808674029,3.36656592258107,4.3436908981093,3.94824754620892
2019,4.09638194615408,4.55345499697101,2.88375111715162,3.31110379048326,4.31189698298909,3.89744514981976
2020,4.11109915873309,4.54926102190939,3.1769545690046,3.0914593772684,4.45214081803227,3.91907400176161
2021,3.97759690005192,4.47816094143991,2.83011598506271,3.05277868856888,4.45656006542656,3.7659984007566
