X,"EURCHF Spot Exchange Rate - Price of 1 EUR
  in CHF"
01/02/2024,0.93036
01/03/2024,0.92741
01/04/2024,0.93064
01/05/2024,0.93031
01/08/2024,0.92869
01/09/2024,0.93169
01/10/2024,0.93362
01/11/2024,0.93481
01/12/2024,0.93359
01/15/2024,0.93717
01/16/2024,0.93702
01/17/2024,0.94073
01/18/2024,0.94418
01/19/2024,0.94611
01/22/2024,0.94577
01/23/2024,0.94456
01/24/2024,0.93924
01/25/2024,0.94047
01/26/2024,0.93782
01/29/2024,0.93312
01/30/2024,0.93464
01/31/2024,0.93187
02/01/2024,0.93257
02/02/2024,0.93517
02/05/2024,0.93534
02/06/2024,0.93541
02/07/2024,0.94202
02/08/2024,0.94167
02/09/2024,0.94337
02/12/2024,0.94331
02/13/2024,0.94998
02/14/2024,0.95038
02/15/2024,0.94792
02/16/2024,0.94932
02/19/2024,0.95118
02/20/2024,0.95319
02/21/2024,0.9517
02/22/2024,0.95266
02/23/2024,0.95344
02/26/2024,0.95494
02/27/2024,0.95277
02/28/2024,0.9525
02/29/2024,0.95574
03/01/2024,0.95747
03/04/2024,0.96064
03/05/2024,0.95911
03/06/2024,0.96135
03/07/2024,0.96093
03/08/2024,0.95998
03/11/2024,0.95865
03/12/2024,0.95862
03/13/2024,0.96219
03/14/2024,0.96181
03/15/2024,0.9622
03/18/2024,0.96526
03/19/2024,0.96495
03/20/2024,0.9686
03/21/2024,0.97478
03/22/2024,0.96991
03/25/2024,0.97473
03/26/2024,0.97911
03/27/2024,0.97857
03/28/2024,0.97271
03/29/2024,0.97307
04/01/2024,0.97146
04/02/2024,0.9778
04/03/2024,0.9784
04/04/2024,0.97683
04/05/2024,0.97711
04/08/2024,0.98318
04/09/2024,0.98094
04/10/2024,0.9806
04/11/2024,0.97608
04/12/2024,0.97295
04/15/2024,0.96856
04/16/2024,0.96948
04/17/2024,0.97206
04/18/2024,0.97106
04/19/2024,0.9692
