State,Megatons of oil equivalents
Russia,669.0
Saudi Arabia,376.0
Australia,296.9
Canada,248.9
Indonesia,211.3
Norway,185.6
Kazakhstan,90.4
United States,89.7
Iran,88.4
Colombia,64.0
Nigeria,59.9
Venezuela,28.7
South Africa,16.8
Brasil,11.2
Chile,-27.2
Mexico,-27.7
Ukraine,-31.0
Poland,-44.4
Belgium,-45.2
Netherlands,-49.8
United Kingdom,-61.4
Thailand,-72.2
Spain,-86.7
France,-107.3
Italy,-114.7
Turkey,-115.0
Taiwan,-116.0
Germany,-188.6
South Korea,-248.5
India,-320.9
Japan,-354.3
China,-810.0
