X,Kanada,USA,Frankreich,Italien,Deutschland,Vereinigtes Königreich,Japan
1985,17.307661,56.739914,12.031107,16.163992,59.877445,59.43292,14.782899
1986,15.285838,55.683052,8.580546,16.120209,60.224964,66.88156,14.603738
1987,16.96986,56.7764,7.2655206,16.404963,57.936638,69.48549,14.926356
1988,18.133429,56.841537,6.3886294,16.65201,56.48581,65.85412,14.88571
1989,18.41766,54.237675,8.005433,15.120759,55.924114,63.556118,14.612524
1990,17.108023,53.364452,7.5431447,15.03636,56.698727,64.4071,13.531984
1991,17.452839,52.66527,8.770647,13.047659,57.419334,65.20508,13.779386
1992,17.359303,53.510742,7.440981,9.605612,55.40419,60.318157,14.395341
1993,15.537345,53.785137,4.462803,7.593783,56.125477,52.7808,15.141976
1994,15.667704,52.978405,4.4037085,8.693369,55.27122,49.236973,15.931768
1995,16.420347,51.94379,4.9226384,10.177216,54.267002,46.27045,16.678617
1996,15.678392,53.113544,5.5071096,9.236561,53.74893,41.572197,17.327097
1997,16.93498,53.76858,4.4274993,8.343842,51.885918,34.28506,17.835005
1998,18.86037,52.622967,6.6101527,9.215989,52.90923,34.056168,18.14089
1999,18.378557,51.773697,5.6174817,9.20727,50.90492,29.0705,19.60937
2000,18.57007,51.715366,5.0599704,9.764072,52.13968,31.811913,21.66468
2001,18.36257,51.077778,3.7671294,11.705032,50.7358,34.16587,23.441813
2002,17.830599,50.286533,4.2853003,12.808931,51.32334,32.093792,23.97197
2003,17.977253,51.015007,4.6899557,13.599412,50.7125,34.770603,26.73098
2004,16.011332,50.058834,4.2966204,15.439929,49.109104,33.456028,26.346117
2005,16.363815,49.885376,4.827502,14.747058,47.141014,33.799423,27.682625
2006,15.416027,49.18556,4.0299296,14.416147,46.054897,37.468224,26.739384
2007,16.057882,48.676548,4.3489084,14.358257,47.1782,34.25821,26.888172
2008,15.419147,48.34536,4.064511,13.7824,43.61628,31.977581,28.191265
2009,13.213697,44.568024,4.094783,13.818765,43.202198,27.348974,28.013857
2010,13.232842,44.903183,4.150454,13.336691,42.215733,28.160498,27.408457
2011,11.562801,42.393864,3.064857,14.92343,43.506947,29.469793,25.816883
2012,10.14275,37.470024,3.7842984,16.574472,44.672836,39.242035,30.20201
2013,9.9056015,38.98575,4.135658,15.710453,45.81148,36.357037,33.329964
2014,9.646433,38.615875,1.9887317,15.661044,44.405785,29.649788,33.461308
2015,9.2760105,33.114674,2.0717173,15.376401,42.619823,22.392067,33.941677
2016,9.119385,30.315151,1.8312,12.399025,40.836548,9.042397,33.3533
2017,8.651952,29.756855,2.3036253,11.123991,37.460407,6.6613445,32.90374
2018,7.3661695,27.358715,1.4431343,9.906399,36.17625,5.058155,32.770275
2019,7.0089664,23.20519,0.64342785,6.4664493,28.643267,2.1365278,32.97003
2020,5.521728,19.128262,0.58605975,4.811738,23.785542,1.7595026,33.178864
2021,5.2496204,21.619696,0.988408,4.895422,28.537724,2.1091852,33.205517
2022,5.7626643,19.396488,0.9369622,7.628279,31.92222,1.7081174,33.7168
