,chart_id,type,date,label
0,07d00172c0f2b9dd3facaed885dd55e1,point,2-2022,Russia invades Ukraine.
1,07d00172c0f2b9dd3facaed885dd55e1,range,3-2022–6-2022,"Ukraine pushes back the Russian armed forces, which then urgently need supplies."
2,07d00172c0f2b9dd3facaed885dd55e1,point,2-2023,Xi visits Putin in Moscow for the first time since the start of the war.
3,0819c8effbf081938ef522a3695b1194,point,2004,EU-Beitritt der fünf Staaten
4,01da15f0f6a6396873566efb70ac7f0d,point,10-2017,Nach dem verfassungswidrigen Referendum im Oktober 2017 und der Reaktion der Zentralregierung steigt die Zustimmung zur Unabhängigkeit.
5,01da15f0f6a6396873566efb70ac7f0d,point,7-2019,Pedro Sánchez begnadigt neun Separatistenführer. Die verfahrene politische Situation in Katalonien beginnt sich zu entspannen.
6,01da15f0f6a6396873566efb70ac7f0d,point,2-2024,"Um sich die Wiederwahl als Ministerpräsident zu sichern, einigt sich der Sozialist Pedro Sánchez mit katalanischen Separatistenparteien auf ein Amnestiegesetz."
7,0819c8effbf081938ef522a3697df98f,point,2011,Unfall von Fukushima
8,08e996c76bf1a7d4bec453e674fc156b,point,03-2020,Die Corona-Pandemie beginnt
9,08e996c76bf1a7d4bec453e674fc156b,point,02-2022,Russland überfällt die Ukraine
10,08e996c76bf1a7d4bec453e674fc156b,point,2007-08,Beginn Finanzkrise
11,08e996c76bf1a7d4bec453e674fc156b,point,2017-01,Amtsantritt Donald Trump
12,0819c8effbf081938ef522a369393b04,point,2022-Q2,Juni 2022: Erste Leitzinserhöhung in der Schweiz seit 2007
13,014e6bf3927ddaf505c8053e37c8b688,point,2019-12-29,Beginn der Corona-Pandemie in China
14,0819c8effbf081938ef522a3694515fb,point,2004,EU-Beitritt der fünf Staaten
15,08e996c76bf1a7d4bec453e674cb145c,point,2022-01-01,Invasion der Ukraine (2022)
16,0819c8effbf081938ef522a369294183,point,2023-11-10,"Am 10. November setzt das Gesundheitsministerium die tägliche Zählung der Toten zunächst aus. Zwei Tage später beginnt das Regierungspresseamt in Gaza, auf der Basis von Medienberichten eigene Zahlen zu publizieren."
17,0819c8effbf081938ef522a369294183,point,2023-12-02,Am 2. Dezember nimmt das Ministerium seine täglichen Updates wieder auf. 
18,0819c8effbf081938ef522a369294183,point,2024-01-06,"Am 6. Januar führt das Ministerium ein Online-Formular ein, um Opfer zu melden."
19,07d00172c0f2b9dd3facaed88599fe8e,point,30.11.2022,Lancierung Chat-GPT
20,0154a0854ad542755c62796906aadb08,point,20.1.2017,20. 1. 2017: Donald Trump wird Präsident.
21,0154a0854ad542755c62796906aadb08,point,20.3.2020,20. 3. 2020: Die Pandemieregelung «Title 42» tritt in Kraft. 
22,0154a0854ad542755c62796906aadb08,point,20.1.2021,20. 1. 2021: Joe Biden übernimmt die Präsidentschaft.
23,0154a0854ad542755c62796906aadb08,point,11.5.2023,"11. 5. 2023: «Title 42» läuft aus, stattdessen beginnt Bidens Grenzregime."
24,016b459adf53c4e44c03cc7e70ef0c6a,point,26.08.2020,Einführung der Maskenpflicht im Kanton Zürich am 27.08.2020
25,08e996c76bf1a7d4bec453e674cb9498,point,2022-01-01,Invasion der Ukraine (2022)
26,016934e7c13b1b546fdea80efd7b5963,point,1995,Einführung der MWSt.
27,016934e7c13b1b546fdea80efd7b5963,point,1999,Erhöhung für die AHV.
28,016934e7c13b1b546fdea80efd7b5963,range,2001–2018,Erhöhungen für die Bahn.
29,016934e7c13b1b546fdea80efd7b5963,point,2024,Erneute Erhöhung für die AHV.
30,016934e7c13b1b546fdea80efd7b5963,point,2027,"Bundesrat will die MWSt für die 13. AHV-Rente um 0,7 Punkte erhöhen."
31,016934e7c13b1b546fdea80efd7b5963,point,2030,"Wird die Mitte-Initiative über die MWSt finanziert, ist eine Erhöhung um 0,8 Punkte nötig. Die Finanzierungslücken durch die Pensionierung der Babyboomer-Generation sind damit noch nicht behoben."
